ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,day_of_week,month
2013-07-01,16650,16.309987987987991,74.8,78.1,73.4,7.8,0.0,Monday,7
2013-07-02,22745,15.968826115629808,76.1,82.9,73.0,8.0,0.73,Tuesday,7
2013-07-03,21864,16.238808086351995,78.5,84.9,73.9,8.8,0.06,Wednesday,7
2013-07-04,22326,21.2184739765296,82.0,91.0,73.9,8.6,0.96,Thursday,7
2013-07-05,21842,18.040443488081063,84.4,93.0,75.9,9.0,0.0,Friday,7
2013-07-06,20467,19.32626178726731,87.0,95.0,77.0,9.3,0.0,Saturday,7
2013-07-07,20477,18.638323484885486,88.8,98.1,79.0,8.8,0.0,Sunday,7
2013-07-08,21615,21.492164392011723,83.7,98.1,75.0,8.9,0.0,Monday,7
2013-07-09,26641,16.098854522477883,82.6,91.0,75.0,6.0,0.0,Tuesday,7
2013-07-10,25732,15.531954375874395,82.0,91.0,75.0,8.7,0.08,Wednesday,7
2013-07-11,24417,16.828634421373085,82.3,91.0,75.0,7.6,0.02,Thursday,7
2013-07-12,19006,15.635127503595353,75.4,86.0,72.0,9.1,0.0,Friday,7
2013-07-13,26119,18.615661013055622,71.4,78.1,68.0,10.5,0.23,Saturday,7
2013-07-14,29287,19.362671151022642,80.2,93.9,69.1,6.0,0.01,Sunday,7
2013-07-15,28069,15.31828232807249,87.2,93.9,72.0,7.8,0.0,Monday,7
2013-07-16,29842,15.128550923753995,86.5,93.9,79.0,7.9,0.0,Tuesday,7
2013-07-17,30550,14.669449536279325,87.4,97.0,78.1,4.0,0.0,Wednesday,7
2013-07-18,28869,14.380492338956435,89.3,100.0,78.1,6.3,0.0,Thursday,7
2013-07-19,26591,14.671052862497334,92.5,100.0,82.9,8.9,0.0,Friday,7
2013-07-20,25278,17.94782155761267,89.2,100.0,82.9,11.3,0.0,Saturday,7
2013-07-21,30297,18.707899021905359,82.2,95.0,77.0,7.6,0.0,Sunday,7
2013-07-22,25979,14.700189255424252,77.1,87.1,75.0,8.3,0.0,Monday,7
2013-07-23,32376,15.737208117123792,80.0,91.0,75.0,7.4,0.58,Tuesday,7
2013-07-24,35271,15.592202753914925,79.9,91.0,75.0,7.8,0.31,Wednesday,7
2013-07-25,31084,14.937073199502425,68.0,82.9,64.0,11.7,0.0,Thursday,7
2013-07-26,34534,15.667923881778343,71.5,84.0,64.0,8.6,0.02,Friday,7
2013-07-27,32470,18.914398419053487,76.9,84.0,64.9,8.5,0.0,Saturday,7
2013-07-28,23508,17.5435731098633,74.8,84.0,71.1,7.6,0.0,Sunday,7
2013-07-29,34915,15.691451620602413,77.3,89.1,71.1,5.7,0.13,Monday,7
2013-07-30,37334,15.828179853931182,75.9,89.1,70.0,8.7,0.0,Tuesday,7
2013-07-31,37261,15.392547167279456,76.1,82.0,70.0,6.2,0.0,Wednesday,7
2013-08-01,20138,13.377141887641937,73.5,82.0,69.1,7.6,0.0,Thursday,8
2013-08-02,35792,16.090496479660263,75.5,86.0,69.1,7.3,0.5,Friday,8
2013-08-03,29540,18.492146806589933,76.4,86.0,70.0,8.1,0.0,Saturday,8
2013-08-04,35253,19.719960003403958,74.6,81.0,70.0,8.7,0.01,Sunday,8
2013-08-05,36776,16.118436842868544,71.5,81.0,64.0,9.4,0.0,Monday,8
2013-08-06,37702,16.159205081958515,73.9,82.0,64.0,6.3,0.0,Tuesday,8
2013-08-07,34396,14.686894793968287,74.4,82.0,66.9,9.5,0.0,Wednesday,8
2013-08-08,28366,14.319887071376531,75.0,82.0,71.1,9.1,0.16,Thursday,8
2013-08-09,29017,15.138192553790306,78.2,89.1,71.1,9.2,0.08,Friday,8
2013-08-10,37201,20.443239877064226,78.3,89.1,72.0,8.9,0.04,Saturday,8
2013-08-11,33060,19.430590340794506,74.8,84.0,66.9,5.7,0.0,Sunday,8
2013-08-12,31457,15.305080480232276,74.8,82.0,66.9,5.5,0.09,Monday,8
2013-08-13,22437,15.649830636894418,74.0,82.0,70.0,5.3,0.01,Tuesday,8
2013-08-14,38150,15.555132372214944,69.5,78.1,62.1,12.4,0.73,Wednesday,8
2013-08-15,37386,15.29837506018295,69.8,78.1,62.1,8.2,0.0,Thursday,8
2013-08-16,35991,16.389049114130383,72.6,81.0,63.0,3.7,0.0,Friday,8
2013-08-17,37285,20.104246122211794,73.6,81.0,66.9,5.2,0.0,Saturday,8
2013-08-18,27612,16.943679680332227,72.5,81.0,68.0,5.2,0.0,Sunday,8
2013-08-19,33127,14.892281723870763,73.5,80.1,68.0,5.5,0.0,Monday,8
2013-08-20,35843,14.974709148229779,77.5,89.1,68.0,4.5,0.0,Tuesday,8
2013-08-21,36315,15.094893294781775,81.1,90.0,70.0,4.5,0.0,Wednesday,8
2013-08-22,26629,14.405246786085348,77.5,90.0,73.0,5.8,0.0,Thursday,8
2013-08-23,33503,15.743948303137033,76.2,81.0,72.0,9.0,0.24,Friday,8
2013-08-24,32941,18.079671736336685,71.5,81.0,64.0,8.9,0.0,Saturday,8
2013-08-25,31755,19.063203694956169,73.8,82.9,64.0,4.8,0.0,Sunday,8
2013-08-26,29979,15.474954134560862,75.3,84.0,66.9,9.1,0.0,Monday,8
2013-08-27,34208,15.067807725288434,78.3,86.0,70.0,10.6,0.01,Tuesday,8
2013-08-28,28185,14.159055644255222,78.0,86.0,73.0,3.2,0.1,Wednesday,8
2013-08-29,34215,14.313135564323643,74.6,84.9,71.1,7.3,0.0,Thursday,8
